codigo,descricao,grupo,energiaKcal,proteinaG,lipideosG,carboidratoG,fibraG,calcioMg,magnesioMg,manganesMg,fosforoMg,ferroMg,sodioMg,potassioMg,cobreMg,zincoMg,selenioMcg,retinolMcg,raeMcg,tiaminaMg,riboflavinaMg,niacinaMg,piridoxinaMg,vitaminaB12Mcg,folatoMcg,vitaminaDMcg,vitaminaEMg,vitaminaCMg,colesterolMg,gordurasSaturadasG,gordurasMonoinsaturadasG,gordurasPoliinsaturadasG,gordurasTransG,acucaresG,acucaresAdicionadosG
8102801-99,Blanquet de Peru,,126,17.5,4.84,2.04,0.2,8,22,0.02,294,2.34,1114,287,0.25,2.59,32.2,7,7,0.03,0.149,2.118,0.209,0.23,7,0.185,0.64,8.9,72,1.526,1.902,1.319,0.107,2.04,2.04
8102901-99,Presunto,,226,20.53,15.2,0.42,,8,17,0.029,243,1.37,941,357,0.13,2.5,35.9,,,0.82,0.26,5.3,0.3,1.06,5,0.796,0.28,,62,5.04,7.07,1.78,0.042,,
8103001-2,"Hamburguer de Peru, cozido(a)",,196,16.61,8.35,12.64,0.61,73.66,21.07,0.133,151.9,1.5,118.3,198.94,0.099,1.55,20.35,15.63,16.69,0.174,0.22,4.555,0.253,0.377,31.45,0.499,0.232,0.6,48.63,2.618,2.998,1.975,0.857,2.85,1.1
8103001-4,"Hamburguer de Peru, assado(a)",,196,16.61,8.35,12.64,0.61,73.66,21.07,0.133,151.9,1.5,118.3,198.94,0.099,1.55,20.35,15.63,16.69,0.174,0.22,4.555,0.253,0.377,31.45,0.499,0.232,0.6,48.63,2.618,2.998,1.975,0.857,2.85,1.1
8103001-6,"Hamburguer de Peru, empanado(a)/a milanesa",,256.5,16.61,15.2,12.64,0.61,73.66,21.07,0.133,151.9,1.5,118.3,198.94,0.099,1.55,23.48,15.63,16.69,0.174,0.22,4.555,0.253,0.377,31.45,0.499,0.792,0.6,48.63,3.689,4.558,5.929,0.894,2.85,1.1
8103101-2,"Hamburguer Nao Especificado, cozido(a)",,214,26.62,11.1,,,13,21,0.01,193,2.89,61,300,0.078,6.65,21.6,,,0.037,0.172,5.228,0.348,2.5,6,0.45,0.41,,86,4.379,4.676,0.398,0.692,,
8103101-3,"Hamburguer Nao Especificado, grelhado(a)/brasa/churrasco",,214,26.62,11.1,,,13,21,0.01,193,2.89,61,300,0.078,6.65,21.6,,,0.037,0.172,5.228,0.348,2.5,6,0.45,0.41,,86,4.379,4.676,0.398,0.692,,
8103101-4,"Hamburguer Nao Especificado, assado(a)",,214,26.62,11.1,,,13,21,0.01,193,2.89,61,300,0.078,6.65,21.6,,,0.037,0.172,5.228,0.348,2.5,6,0.45,0.41,,86,4.379,4.676,0.398,0.692,,
8103101-5,"Hamburguer Nao Especificado, frito(a)",,236.7,26.62,13.66,,,13,21,0.01,193,2.89,61,300,0.078,6.65,22.77,,,0.037,0.172,5.228,0.348,2.5,6,0.45,0.62,,86,4.78,5.26,1.878,0.706,,
8103101-99,Hamburguer Nao Especificado,,214,26.62,11.1,,,13,21,0.01,193,2.89,61,300,0.078,6.65,21.6,,,0.037,0.172,5.228,0.348,2.5,6,0.45,0.41,,86,4.379,4.676,0.398,0.692,,
8103601-99,Apresuntado,,178,22.62,9.02,,,8,22,0.041,281,1.34,1500,409,0.145,2.47,19.8,,,0.73,0.33,6.15,0.31,0.7,3,0.8,0.31,,59,3.12,4.44,1.41,0.027,,
8103901-99,Pururuca de Porco,,544,61.3,31.3,,,30,11,0.069,85,0.88,1838,127,0.094,0.56,41,12,12,0.099,0.283,1.549,0.023,0.64,,,0.53,0.5,95,11.37,14.78,3.64,0.31,,
8103902-99,Pele de Porco Preparada (Pururuca),,544,61.3,31.3,,,30,11,0.069,85,0.88,1838,127,0.094,0.56,41,12,12,0.099,0.283,1.549,0.023,0.64,,,0.53,0.5,95,11.37,14.78,3.64,0.31,,
8104001-99,"Pate (Fígado, Calabresa, Frango, Presunto, Etc)",,326,14.1,28.5,2.2,,26,12,0.155,230,6.4,860,170,0.24,2.3,58,8300,8300,0.272,1.03,4.3,0.19,13.46,30,0.6,0.405,,158,10.6,13.34,2.6,2.36,0.51,0.59
8104101-99,Carne de Aves Defumada,,195.7,30.91,7.07,,,15,27,0.017,216,1.06,77,247,0.05,1.23,25.57,9,9,0.065,0.116,12.421,0.6,0.34,4,0.2,0.48,,85,1.671,2.124,2.46,0.104,,
8104601-2,"Carne Salgada Nao Especificada, cozido(a)",,313,26.9,21.9,,,13,12,0.02,82,1.9,1943,86,0.03,7.7,,,,,0.06,,,,,,,,100,10.5,8.3,0.4,0.93,,
8104601-3,"Carne Salgada Nao Especificada, grelhado(a)/brasa/churrasco",,313,26.9,21.9,,,13,12,0.02,82,1.9,1943,86,0.03,7.7,,,,,0.06,,,,,,,,100,10.5,8.3,0.4,0.93,,
8104601-4,"Carne Salgada Nao Especificada, assado(a)",,313,26.9,21.9,,,13,12,0.02,82,1.9,1943,86,0.03,7.7,,,,,0.06,,,,,,,,100,10.5,8.3,0.4,0.93,,
8104601-5,"Carne Salgada Nao Especificada, frito(a)",,347,25.29,26.56,,,12.22,11.28,0.019,77.08,1.79,1826.42,80.84,0.028,7.24,2.74,,,,0.056,,,,,,0.488,,94,10.804,9.162,3.824,0.032,,
8104601-7,"Carne Salgada Nao Especificada, refogado(a)",,347,25.29,26.56,,,12.22,11.28,0.019,77.08,1.79,1826.42,80.84,0.028,7.24,2.74,,,,0.056,,,,,,0.488,,94,10.804,9.162,3.824,0.032,,
8104601-8,"Carne Salgada Nao Especificada, molho vermelho",,255.2,21.78,17.56,1.08,0.3,13,12.8,0.038,70.8,1.72,1659.2,135,0.048,6.2,0.04,,3.48,0.004,0.062,0.196,0.02,,2.2,,0.284,1.4,80,8.406,6.646,0.334,,0.85,
8104601-99,Carne Salgada Nao Especificada,,313,26.9,21.9,,,13,12,0.02,82,1.9,1943,86,0.03,7.7,,,,,0.06,,,,,,,,100,10.5,8.3,0.4,0.93,,
8104904-2,"Mini Chicken Empanado, cozido(a)",,273,16.24,15.63,15.91,0.64,9.85,17.73,0.107,121.52,1.36,704.38,138.84,0.047,0.71,16.45,4.22,4.89,0.167,0.142,6.892,0.299,0.159,35,0.094,1.087,,39.84,3.619,7.431,2.572,3.008,0.14,
8104904-3,"Mini Chicken Empanado, grelhado(a)/brasa/churrasco",,273,16.24,15.63,15.91,0.64,9.85,17.73,0.107,121.52,1.36,704.38,138.84,0.047,0.71,16.45,4.22,4.89,0.167,0.142,6.892,0.299,0.159,35,0.094,1.087,,39.84,3.619,7.431,2.572,3.008,0.14,
8104904-4,"Mini Chicken Empanado, assado(a)",,273,16.24,15.63,15.91,0.64,9.85,17.73,0.107,121.52,1.36,704.38,138.84,0.047,0.71,16.45,4.22,4.89,0.167,0.142,6.892,0.299,0.159,35,0.094,1.087,,39.84,3.619,7.431,2.572,3.008,0.14,
8104904-5,"Mini Chicken Empanado, frito(a)",,273,16.24,15.63,15.91,0.64,9.85,17.73,0.107,121.52,1.36,704.38,138.84,0.047,0.71,16.45,4.22,4.89,0.167,0.142,6.892,0.299,0.159,35,0.094,1.087,,39.84,3.619,7.431,2.572,3.008,0.14,
8104904-6,"Mini Chicken Empanado, empanado(a)/a milanesa",,273,16.24,15.63,15.91,0.64,9.85,17.73,0.107,121.52,1.36,704.38,138.84,0.047,0.71,16.45,4.22,4.89,0.167,0.142,6.892,0.299,0.159,35,0.094,1.087,,39.84,3.619,7.431,2.572,3.008,0.14,
8105001-99,Mortadela Light,,211,13.06,16.06,3.45,,48,17,0.155,94,1.15,716,138,0.082,0.73,5.6,1,1,0.159,0.097,3.072,0.163,0.29,18,0.416,0.232,,79,5.46,7.548,3.051,0.109,0.46,0.46
8105201-5,"Salsicha No Varejo Light, frito(a)",,154,11,10,4.4,,10,10,0.01,140,1.2,1257,150,0.075,1.96,15.1,,,0.18,0.11,2.4,0.1,1.3,4,0.327,0.08,,44,3.692,4.75,0.937,0.191,3.63,4.4
8105401-99,Salame Light,,145.2,14.7,8.94,0.5,,9.88,12.67,0.014,95.12,0.78,999.07,124.77,0.044,1.41,11.44,33.97,33.97,0.037,0.117,3.6,0.176,0.164,3.96,0.113,0.243,,51.52,2.474,3.505,1.976,0.194,0.5,0.5
8105501-99,Blanquet de Peru Light,,124.1,14.99,3.57,7.11,,43.68,14.84,0.05,120.15,0.68,853.62,180.74,0.084,1.18,11.6,6.34,6.34,0.06,0.13,4.292,0.214,0.271,4.62,0.192,0.131,0.03,37.61,1.039,1.342,0.711,0.107,2.8,1.55
